geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
51059421001,59.0,0.14732,0.0,0.97994,0.0,0.05945,1.0,0.01934,1.0,0.10785,1.0,0.10301,0.0,0.18334,0.0,0.23206,0.0,0.0,1.0,0.36854,0.0,0.04574,1.0,0.0,1.0,0.0,1.0,0.0264,1.0,0.0,1.0,0.12756,1.0,0.00372,1.0,0.01934,1.0,0.03235,1.0,0.01116,1.0,0.02901,1.0,0.00372,1.0,0.00237,0.0,0.0,1.0,0.00514,0.00246,2859.0,1.75712,1627.09806,0.21066,0.11984,0.20047,0.14315,0.25053,0.72242,0.72137,0.69773,0.6924,0.69424,0.0,0.39047,0.33799,0.43577,0.44811,0.35763,0.75688,0.70059,0.73383,0.67302,0.74214,0.0
51059421002,59.0,0.15477,0.0,0.98724,0.0,0.10124,0.0,0.06675,0.0,0.08898,1.0,0.20249,0.0,0.1655,0.0,0.12636,0.0,0.0037,1.0,0.47508,0.0,0.04186,1.0,0.0,1.0,0.0,1.0,0.01207,1.0,0.03407,0.0,0.03836,1.0,0.02648,1.0,0.01616,1.0,0.02317,1.0,0.0,1.0,0.0148,1.0,0.04303,0.0,0.0044,0.0,0.0,1.0,0.00879,0.00451,5354.0,4.45482,1201.8451,0.18119,0.11895,0.10892,0.1807,0.20163,0.70646,0.7328,0.68506,0.65446,0.67972,0.0,0.32049,0.23802,0.32767,0.29897,0.26506,0.72924,0.71434,0.71483,0.73611,0.70548,0.0
51059421101,59.0,0.09633,0.0,0.99316,0.0,0.06715,1.0,0.02925,1.0,0.06258,1.0,0.09733,0.0,0.22264,0.0,0.12689,0.0,0.0,1.0,0.51053,0.0,0.03255,1.0,0.00912,1.0,0.0,1.0,0.02563,1.0,0.01006,1.0,0.04638,0.0,0.01226,1.0,0.02123,1.0,0.03648,1.0,0.0,1.0,0.00739,1.0,0.00597,1.0,0.006,0.0,0.07131,0.0,0.00268,0.00518,5919.0,2.88239,2053.50525,0.19278,0.10278,0.19389,0.32526,0.21343,0.72769,0.73255,0.70661,0.65315,0.70931,0.0,0.39013,0.34645,0.44135,0.47118,0.35141,0.77856,0.73585,0.73349,0.68465,0.75654,0.0
51059421102,59.0,0.11625,0.0,0.89019,0.0,0.02645,0.0,0.02156,1.0,0.0434,1.0,0.14028,0.0,0.18886,0.0,0.12364,0.0,0.0,1.0,0.50983,0.0,0.0434,1.0,0.0,1.0,0.0,1.0,0.02183,1.0,0.00246,1.0,0.04803,1.0,0.00955,1.0,0.03794,1.0,0.05977,0.0,0.0,1.0,0.0,1.0,0.03002,1.0,0.00364,0.0,0.0456,0.0,0.00055,0.00282,3518.0,1.57057,2239.94909,0.25255,0.24528,0.2029,0.42623,0.25219,0.67727,0.67302,0.66667,0.65591,0.64225,0.0,0.41986,0.38053,0.48288,0.45133,0.35726,0.72436,0.67262,0.70361,0.63305,0.69329,0.0
51059421103,59.0,0.09514,0.0,0.99589,0.0,0.05418,1.0,0.02057,1.0,0.0467,1.0,0.11228,0.0,0.17365,0.0,0.11524,0.0,1e-05,1.0,0.5554,0.0,0.03218,1.0,0.01076,1.0,2e-05,1.0,0.0209,1.0,0.03243,1.0,0.01667,1.0,0.02937,1.0,0.00677,1.0,0.02994,1.0,0.0,1.0,0.00296,1.0,0.0066,1.0,0.00563,0.0,0.00255,0.0,0.00387,0.00505,5918.0,4.95931,1193.31166,0.18193,0.13845,0.13899,0.33283,0.19768,0.75044,0.71609,0.70143,0.61137,0.75297,0.0,0.40656,0.35601,0.42598,0.43514,0.33001,0.7745,0.74133,0.73153,0.69999,0.75504,0.0
51059421200,59.0,0.03062,1.0,0.98373,0.0,0.019,1.0,0.00809,1.0,0.05331,1.0,0.04331,0.0,0.01951,1.0,0.04712,0.0,0.0,1.0,0.82199,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01618,1.0,0.01095,1.0,0.01666,1.0,0.0,1.0,0.00571,1.0,0.01285,1.0,0.0,1.0,0.02189,1.0,0.0,1.0,0.00203,0.0,0.0,1.0,0.00014,0.0021,2026.0,1.42078,1425.9735,0.21063,0.18421,0.27451,0.54348,0.29808,0.78428,0.8,0.75,0.62162,0.75362,0.0,0.36743,0.19048,0.45455,0.41111,0.31579,0.81284,0.77064,0.6875,0.76923,0.7451,0.0
51059421300,59.0,0.08806,0.0,0.9999,0.0,0.06994,0.0,0.01943,1.0,0.0884,1.0,0.09332,0.0,0.11008,0.0,0.18041,0.0,0.00274,1.0,0.57671,0.0,0.11667,0.0,0.0,1.0,0.0,1.0,0.02622,1.0,0.01923,1.0,0.0108,1.0,0.01891,0.0,0.00451,1.0,0.01277,1.0,0.00323,1.0,0.00885,1.0,0.0,1.0,0.00398,0.0,0.00917,0.0,0.0006,0.00394,3661.0,8.24134,444.22379,0.21746,0.16387,0.15453,0.36602,0.24529,0.75114,0.72256,0.69633,0.65808,0.69343,0.0,0.36837,0.24507,0.33552,0.36988,0.27812,0.80369,0.69755,0.79518,0.76347,0.755,0.0
51059421400,59.0,0.29225,0.0,0.92636,0.0,0.06753,0.0,0.12551,1.0,0.0764,1.0,0.0887,0.0,0.19331,0.0,0.43434,0.0,0.0,1.0,0.20051,0.0,0.28643,0.0,0.00232,1.0,0.01045,1.0,0.04609,1.0,0.04354,1.0,0.0375,1.0,0.00221,1.0,0.00569,1.0,0.01312,1.0,0.0,1.0,0.00476,1.0,0.0,1.0,0.00457,0.0,0.0,1.0,0.00242,0.00438,8209.0,1.92504,4264.32773,0.15667,0.06674,0.07978,0.10604,0.17845,0.68046,0.67577,0.69621,0.53754,0.63051,0.0,0.3083,0.18598,0.31767,0.24788,0.23997,0.66321,0.60159,0.65333,0.60046,0.63667,0.0
51059421500,59.0,0.33038,0.0,0.87936,0.0,0.07256,1.0,0.18176,0.0,0.10512,1.0,0.08227,1.0,0.27749,0.0,0.45756,0.0,0.0,1.0,0.17603,0.0,0.26247,0.0,0.0,1.0,0.0,1.0,0.15278,0.0,0.00862,1.0,0.02546,1.0,0.00287,1.0,0.0,1.0,0.00366,1.0,0.00222,1.0,0.01658,1.0,0.0,1.0,0.0039,0.0,0.08516,0.0,0.00365,0.00345,7119.0,1.83551,3878.49196,0.16687,0.06397,0.11688,0.12766,0.18802,0.65328,0.67096,0.71628,0.55621,0.61452,0.0,0.2785,0.18089,0.35312,0.27247,0.24308,0.65009,0.59492,0.67535,0.60647,0.64229,0.0
51059421600,59.0,0.24735,0.0,0.87145,0.0,0.13996,1.0,0.21827,0.0,0.10496,1.0,0.11371,0.0,0.30929,0.0,0.4359,0.0,0.0,1.0,0.07112,0.0,0.33983,0.0,0.0,1.0,0.0,1.0,0.01147,1.0,0.0076,1.0,0.02137,1.0,0.0,1.0,0.0,1.0,0.02223,1.0,0.0,1.0,0.01176,1.0,0.0,1.0,0.0041,0.0,0.08062,0.0,0.00062,0.00358,6427.0,1.15976,5541.64751,0.17132,0.10406,0.06707,0.1129,0.21149,0.65121,0.68122,0.74863,0.70409,0.63107,0.0,0.30077,0.23002,0.4174,0.28535,0.26624,0.6595,0.6659,0.70488,0.59789,0.64417,0.0
